Time,geo,Value,age,sex,unit
2020,FR,67473651,TOTAL,T,NR
2020,DE,83166711,TOTAL,T,NR
2020,EL,10718565,TOTAL,T,NR
2020,HU,9689376,TOTAL,T,NR
2020,IE,5012600,TOTAL,T,NR
2020,IT,59641488,TOTAL,T,NR
2020,LV,1907675,TOTAL,T,NR
2020,LT,2809977,TOTAL,T,NR
2020,LU,626108,TOTAL,T,NR
2020,MT,514855,TOTAL,T,NR
2020,NL,17407585,TOTAL,T,NR
2020,PL,37958138,TOTAL,T,NR
2020,PT,10375395,TOTAL,T,NR
2020,RO,19328838,TOTAL,T,NR
2020,SK,5457873,TOTAL,T,NR
2020,SI,2095861,TOTAL,T,NR
2020,ES,47318050,TOTAL,T,NR
2020,SE,10327589,TOTAL,T,NR
2021,AT,8932664,TOTAL,T,NR
2021,BE,11554767,TOTAL,T,NR
2021,BG,6532117,TOTAL,T,NR
2021,HR,3893026,TOTAL,T,NR
2021,CY,914476,TOTAL,T,NR
2021,CZ,10494836,TOTAL,T,NR
2021,DK,5840045,TOTAL,T,NR
2021,EE,1330068,TOTAL,T,NR
2021,FI,5533793,TOTAL,T,NR
2021,FR,67728568,TOTAL,T,NR
2021,DE,83155031,TOTAL,T,NR
2021,EL,10678632,TOTAL,T,NR
2021,HU,9651461,TOTAL,T,NR
2021,IE,5066893,TOTAL,T,NR
2021,IT,59236213,TOTAL,T,NR
2021,LV,1893223,TOTAL,T,NR
2021,LT,2810761,TOTAL,T,NR
2021,LU,634730,TOTAL,T,NR
2021,MT,516125,TOTAL,T,NR
2021,NL,17475415,TOTAL,T,NR
2021,PL,37073357,TOTAL,T,NR
2021,PT,10394297,TOTAL,T,NR
2021,RO,19201662,TOTAL,T,NR
2021,SK,5459781,TOTAL,T,NR
2021,SI,2108977,TOTAL,T,NR
2021,ES,47400798,TOTAL,T,NR
2021,SE,10379295,TOTAL,T,NR
2022,AT,8978929,TOTAL,T,NR
2022,BE,11617623,TOTAL,T,NR
2022,BG,6482484,TOTAL,T,NR
2022,HR,3862305,TOTAL,T,NR
2022,CY,929764,TOTAL,T,NR
2022,CZ,10516707,TOTAL,T,NR
2022,DK,5873420,TOTAL,T,NR
2022,EE,1331796,TOTAL,T,NR
2022,FI,5548241,TOTAL,T,NR
2022,FR,68091703,TOTAL,T,NR
2022,DE,83237124,TOTAL,T,NR
2022,EL,10461627,TOTAL,T,NR
2022,HU,9610403,TOTAL,T,NR
2022,IE,5154277,TOTAL,T,NR
2022,IT,59030133,TOTAL,T,NR
2022,LV,1875757,TOTAL,T,NR
2022,LT,2805998,TOTAL,T,NR
2022,LU,645397,TOTAL,T,NR
2022,MT,520174,TOTAL,T,NR
2022,NL,17590672,TOTAL,T,NR
2022,PL,36889761,TOTAL,T,NR
2022,PT,10421117,TOTAL,T,NR
2022,RO,19042455,TOTAL,T,NR
2022,SK,5434712,TOTAL,T,NR
2022,SI,2107180,TOTAL,T,NR
2022,ES,47486843,TOTAL,T,NR
2022,SE,10452326,TOTAL,T,NR
